Store ID,Transaction Type,Amount,Transaction Count,Date
12,Other,0,0,8/3/2019
11,Other,0,0,8/3/2019
10,Other,0,0,8/3/2019
6,Other,0,0,8/3/2019
3,Other,0,0,8/3/2019
2,Other,0,0,8/3/2019
1,Other,0,0,8/3/2019
41,Notas,0,0,8/3/2019
40,Notas,0,0,8/3/2019
39,Notas,0,0,8/3/2019
38,Notas,0,0,8/3/2019
37,Notas,0,0,8/3/2019
23,Notas,0,0,8/3/2019
22,Notas,0,0,8/3/2019
21,Notas,0,0,8/3/2019
20,Notas,0,0,8/3/2019
19,Notas,0,0,8/3/2019
12,Notas,0,0,8/3/2019
11,Notas,0,0,8/3/2019
10,Notas,0,0,8/3/2019
6,Notas,0,0,8/3/2019
3,Notas,0,0,8/3/2019
2,Notas,0,0,8/3/2019
1,Notas,0,0,8/3/2019
41,Manual Credit,0,0,8/3/2019
40,Manual Credit,0,0,8/3/2019
39,Manual Credit,0,0,8/3/2019
38,Manual Credit,0,0,8/3/2019
37,Manual Credit,0,0,8/3/2019
23,Manual Credit,0,0,8/3/2019
22,Manual Credit,0,0,8/3/2019
21,Manual Credit,0,0,8/3/2019
20,Manual Credit,0,0,8/3/2019
19,Manual Credit,0,0,8/3/2019
12,Manual Credit,0,0,8/3/2019
11,Manual Credit,0,0,8/3/2019
10,Manual Credit,0,0,8/3/2019
6,Manual Credit,0,0,8/3/2019
3,Manual Credit,0,0,8/3/2019
2,Manual Credit,0,0,8/3/2019
1,Manual Credit,0,0,8/3/2019
41,Gift Card,0,0,8/3/2019
40,Gift Card,0,0,8/3/2019
39,Gift Card,5,1,8/3/2019
38,Gift Card,0,0,8/3/2019
37,Gift Card,0,0,8/3/2019
23,Gift Card,0,0,8/3/2019
22,Gift Card,14.28,2,8/3/2019
21,Gift Card,0,0,8/3/2019
20,Gift Card,5.46,1,8/3/2019
19,Gift Card,6.36,1,8/3/2019
12,Gift Card,0,0,8/3/2019
11,Gift Card,0,0,8/3/2019
10,Gift Card,0,0,8/3/2019
6,Gift Card,0,0,8/3/2019
3,Gift Card,0,0,8/3/2019
2,Gift Card,0,0,8/3/2019
1,Gift Card,0,0,8/3/2019
41,EPay,202.2,12,8/3/2019
40,EPay,97.34,5,8/3/2019
39,EPay,212.2,11,8/3/2019
38,EPay,178.44,9,8/3/2019
37,EPay,41.58,1,8/3/2019
23,EPay,162.32,10,8/3/2019
22,EPay,281.32,15,8/3/2019
21,EPay,157.34,10,8/3/2019
20,EPay,246.14,12,8/3/2019
19,EPay,178.84,10,8/3/2019
12,EPay,51.57,2,8/3/2019
11,EPay,61.56,4,8/3/2019
10,EPay,75.62,5,8/3/2019
6,EPay,102.45,8,8/3/2019
3,EPay,144.3,8,8/3/2019
2,EPay,67.96,6,8/3/2019
1,EPay,153.44,10,8/3/2019
41,EBT,0,0,8/3/2019
40,EBT,0,0,8/3/2019
39,EBT,0,0,8/3/2019
38,EBT,0,0,8/3/2019
37,EBT,0,0,8/3/2019
23,EBT,0,0,8/3/2019
22,EBT,0,0,8/3/2019
21,EBT,0,0,8/3/2019
20,EBT,0,0,8/3/2019
19,EBT,0,0,8/3/2019
12,EBT,0,0,8/3/2019
11,EBT,0,0,8/3/2019
10,EBT,0,0,8/3/2019
6,EBT,0,0,8/3/2019
3,EBT,0,0,8/3/2019
2,EBT,0,0,8/3/2019
1,EBT,0,0,8/3/2019
41,Debit,0,0,8/3/2019
40,Debit,0,0,8/3/2019
39,Debit,0,0,8/3/2019
38,Debit,0,0,8/3/2019
37,Debit,0,0,8/3/2019
